,loannumber,loanamount,totaldue,termdays
8a858f6e5aa3c922015aa3d9cba10a74,5,20000,22250,15
8a858f785cea234f015cea434e0a09e6,2,10000,13000,30
8a858f7e564ad338015654d3a5c242a5,8,30000,34500,30
8a858f9158aff6a30158b5f2ff887585,9,20000,22250,15
8a858f975c4582c4015c550ee4925686,3,10000,13000,30
8a858f995a4762a5015a4c25b0ea01c3,6,20000,24500,30
8a858fa45bd95e9a015be131cdec35a8,3,10000,13000,30
8a858fb15b34a708015b350c4a1a58d2,4,20000,24500,30
8a858fba5cd5feee015cda4f0fa423b4,2,10000,11500,15
8a858fc55b2fde30015b30c9256b43fd,5,20000,24500,30
8a858fcb5ca240f7015ca64a71fa1951,2,10000,13000,30
8a858fd45a4260bc015a42ac9e89278d,5,20000,24500,30
8a858fd95c3b5bca015c3fcc0b374c3e,2,10000,13000,30
8a85882953bc04f80153c205b75d7403,8,40000,48000,60
8a8588dc536a14130153753dc8d32698,17,40000,44000,30
8a85895054a061920154a909b1a76c1d,12,30000,34500,30
8a858e0b5cfa2028015d092b47e27e30,2,10000,13000,30
8a858e1556321b940156548b9ca970a6,12,40000,48000,60
8a858e195b90e512015ba0eb4eed5ef5,5,20000,24500,30
8a858e205af28299015af50a799745c5,7,30000,39000,60
8a858e2e5bb57a37015bbe1b8d6d3830,3,10000,13000,30
8a858e3559080830015923412dd84294,10,40000,44000,30
8a858e3e5b3ee747015b3f0409012b7f,5,30000,39000,60
8a858e4a5cac6f81015cad78a648389f,2,10000,13000,30
8a858e575bf80f73015bfbc59df93401,3,10000,13000,30
8a858e625c8d993a015c95e7ced318df,2,10000,13000,30
8a858e655a047d1a015a12bb060936ff,3,10000,13000,30
8a858e6e55c554c20155c6d8e2925c62,8,10000,13000,30
8a858e785acd3412015acd7bdec42d4f,6,30000,34500,30
8a858e875c63d395015c74bdfd343206,2,10000,13000,30
8a858e8d56adbdae0156b30248fe3104,4,20000,24500,30
8a858e985885ff6d01589211d7c01088,6,20000,24500,30
8a858ea15ca2565c015ca6ed24977b5e,2,10000,13000,30
8a858eaa55a0b8ae0155bab849c616a1,2,10000,13000,30
8a858eb4596ff919015974a667560a89,8,30000,34500,30
8a858ec55b441639015b444e78b7361f,4,10000,11125,15
8a858ece5b0142e3015b0a3a7f183339,5,20000,24500,30
8a858eda552adcc20155307212b55ac2,11,30000,34500,30
8a858ee65a8401a1015a8447d2ac1cf2,6,20000,24500,30
8a858eef5554890501555868a7475f44,8,15000,16687.5,15
8a858eff55a090650155a13892552a0b,2,10000,11500,15
8a858f0656b7820c0156c3e3a61c1d33,15,50000,52500,30
8a858f0f5bfd79d2015c0331ce3378fe,2,10000,11500,15
8a858f1f587161850158742ebbce53d8,9,30000,34500,30
8a858f275c451af5015c49a2c43b5fb2,2,10000,13000,30
8a858f305cb1ec4e015cb215f0500a8d,2,10000,13000,30
8a858f375cef1cbc015ceff67d505f59,2,10000,13000,30
8a858f425b85835d015b85bfe40538db,2,10000,13000,30
8a858f495c5973ce015c59c5f099417c,3,10000,13000,30
8a858f54589736f401589857085e3b5b,9,40000,44000,30
8a858f585bfd6341015c03694f85158f,4,10000,11500,15
8a858f5e5cf45779015cf47ed8db1872,2,10000,13000,30
8a858f665c45930d015c54a24fdc1f6c,2,10000,11500,15
8a858f6f5b3f095b015b4083532532a0,2,10000,13000,30
8a858f7a5ca22d3c015ca24d01461879,2,10000,13000,30
8a858f965bb63a25015bc22b915e62f1,5,20000,22250,15
8a858f985b80ab2c015b81098b8f2c2e,4,20000,24500,30
8a858fa15c8ceaaa015c8d79c65f4f86,2,10000,13000,30
8a858faf56b7821c0156b93cd62a6275,9,40000,48000,60
8a858fb45b3eef19015b3fa969390cd3,4,20000,22250,15
8a858fbd5cd6054a015ce82aa3914088,2,10000,13000,30
8a858fca5c830943015c835e839e33a5,2,10000,11500,15
8a858fcf5591c5cf015597c298cb15d9,2,10000,13000,30
8a858fd55c45ba15015c4f06ea176506,3,10000,11500,15
8a858fdf5bf85f71015bfc1f51f9690a,2,10000,13000,30
8a858fea5b391cd7015b3936e1ca25c8,5,20000,24500,30
8a858ff45be92ea2015be98bc2162c96,2,10000,13000,30
8a858ffb5b350b52015b352574d219d9,4,20000,24500,30
8a1edbf14734127f0147356fdb1b1eb2,3,10000,11500,15
8a85884e54a0565b0154ba3fa6c72e7e,3,10000,11500,15
8a8588f754a058cb0154b3b507dc1abe,7,30000,34500,30
8a85892e5425ad2001542d2827756546,5,20000,24500,30
8a8589b953d0be470153d0e6e1490a90,18,50000,52500,30
8a858e0d59b7438d0159b7e0aa7533cd,7,30000,34500,30
8a858e225c404292015c4419d23d04f8,3,10000,13000,30
8a858e3654e2a82401550631bfcd571d,3,10000,13000,30
8a858e445add19b4015addc433723178,7,30000,39000,60
8a858e5b5bd99460015bd9e9ee2e18f4,5,20000,21750,15
8a858e69566ae5b801567378795b7add,5,20000,24500,30
8a858e725b3424d2015b3427a76103d2,4,10000,12250,30
8a858e845accb4f9015accdccf761e20,5,10000,13000,30
8a858ea35a28b88b015a3be970e0681d,6,20000,24500,30
8a858eac5c451942015c58ac70523824,2,10000,13000,30
8a858eb95b3ed48c015b4034cc273ab2,2,10000,13000,30
8a858ebd5b254c8b015b2fd8dafc7cee,7,30000,34500,30
8a858ec65c123dfb015c150e513455db,2,10000,13000,30
8a858ed25ba09f98015ba3f2c69e6d69,2,10000,11500,15
8a858ed55bafadc7015bb15979d1553e,4,15000,18375,30
8a858eda5c8863ff015c911534db43b8,2,10000,11500,15
8a858ee0560bc07701561391bb845623,2,10000,13000,30
8a858ee55cb156e6015cbb9fb27c2ad1,2,10000,13000,30
8a858ef258d4a48b0158e998c5794c1c,8,30000,34500,30
8a858eff55a090650155b7b1624119ab,2,10000,11500,15
8a858f065b1fe50a015b200b42462585,4,10000,13000,30
8a858f0d58a18ebc0158ab6deec27309,7,30000,39000,60
8a858f13556665aa01556dbccd6e1a20,12,40000,44000,30
8a858f265b5c418f015b5c58effa1a88,2,10000,13000,30
8a858f2756cec0a30156e2d4cea415a3,10,30000,39000,60
8a858f2d5853901a01586382639065c7,3,10000,13000,30
8a858f315ccb979d015ccf98ddd4661f,2,10000,11500,15
8a858f3d5add42e2015ae9ab7c277132,6,30000,34500,30
8a858f465668e3d601566ad583100ef5,9,30000,34500,30
8a858f545908094b01591185749d6f25,6,20000,24500,30
8a858f595ccb6f86015cced9f57a03d6,2,10000,13000,30
8a858f60562378450156250366f10f86,9,30000,34500,30
8a858f6e5cb16eb9015cbb1fb520374d,2,10000,13000,30
8a858f7958b0a4a80158b47fb32010f3,11,40000,44000,30
8a858f7e5c213ef4015c21ca37fb3888,3,10000,13000,30
8a858f93572e873c01574753c9513a4e,7,20000,24500,30
8a858f975c4582c4015c4e5295c66873,2,10000,13000,30
8a858f9d5668e3f101566fb7494822f9,9,30000,34500,30
8a858fe45cd62cbf015cdfb7b59f05f4,2,10000,11000,15
8a858fec5ceec886015ceee4a2ab15ac,2,10000,13000,30
8a858ffd5c8d343d015c97cecd270cb5,2,10000,11500,15
8a8189d152443f820152443f89500001,13,20000,24500,30
8a8588b754517d800154555019c36231,7,10000,11500,15
8a8589045384bd8301539e05b3d35023,11,50000,52500,30
8a858953548fb0c001549b31ac5f6dda,13,10000,11000,30
8a858e0156b782a10156b8e131824d39,6,10000,11500,30
8a858e065ccb8bc0015ccc9d8c2532cb,2,10000,13000,30
8a858e195b90e512015b9312936863cf,5,20000,24500,30
8a858e2e5bb57a37015bc8ff494a1089,2,10000,13000,30
8a858e3a54e337020154fda980777859,4,20000,24500,30
8a858e4b5cb1e4d7015cbbde80436cf1,2,10000,13000,30
8a858e5d57518f4601576a5b604c4adf,2,10000,11500,15
8a858e64590ae20001590c511d9b0cdf,4,10000,11500,15
8a858e695d1e075c015d211df3354b8e,2,10000,13000,30
8a858e705668e1670156810ee20960b7,7,30000,34500,30
8a858e785c8d9167015c9b35e2411165,2,10000,13000,30
8a858e8d56b784480156b7d232f723a8,10,30000,39000,60
8a858ea45c109201015c10d210791b14,3,10000,11500,15
8a858eb85886bdc30158acf926932eda,3,10000,13000,30
8a858eba5c884d2a015c8c4c58c5088a,2,10000,11500,15
8a858ec45577f83e01557eaf9f0b1f4c,2,10000,11500,15
8a858ec95afc0922015affaaf5992c1a,5,15000,18375,30
8a858eda552adcc2015559532234110a,10,30000,39000,60
8a858edb5bd936e4015be394167c4698,4,20000,24500,30
8a858ee45b62dadc015b660294b5292e,4,20000,24500,30
8a858eed5756fb0e0157576dda0129e5,5,10000,13000,30
8a858ef95cf5154a015cf659212d26ce,2,10000,13000,30
8a858f03582a54c301582f698a281700,9,30000,39000,60
8a858f0a56ffda560157093acf144b87,9,30000,39000,60
8a858f0f5d1df2ad015d219c38c87827,2,10000,13000,30
8a858f185d1daff6015d279fcb900eef,2,10000,13000,30
8a858f245a4cde1e015a4e6271fd6c46,5,20000,24500,30
8a858f265c2187bd015c346b5bb74ea9,5,20000,24500,30
8a858f295c8d307f015c9e4f9b771eed,2,10000,11500,15
8a858f2f54e28d530154f3a9d35625d8,4,10000,11500,15
8a858f375b493337015b4943d3aa1027,6,20000,22250,15
8a858f405d13c45f015d1407060e316e,2,10000,11500,15
8a858f4e5ba5e8d3015ba9d8b01b3062,4,20000,24500,30
8a858f565b683b56015b7b6b606e1ec9,5,20000,24500,30
8a858f5f55f82ae30155f91ba4250aea,9,30000,34500,30
8a858f6a5b1fa846015b1ff2a147401d,7,15000,17250,30
8a858f765c350480015c35105f3f04c1,2,10000,13000,30
8a858f7c5be8dc45015be8eaadb90c0e,3,10000,13000,30
8a858f8e5b8c34d3015b8f4fe5ca199d,5,10000,11500,15
8a858f965c6950da015c6acefa5f661f,2,10000,13000,30
8a858f99560bbe4501561d163d570cba,11,50000,57500,90
8a858f9f5679951a01568d9941453c97,6,30000,34500,30
8a858fa25bd92c20015bda1a38cf5a24,3,10000,13000,30
8a858fa55acd8061015ad0b778b013ea,5,20000,24500,30
8a858fae5921beeb01592ad3c5c12bc1,6,20000,24500,30
8a858fb557330de1015750e05ade4eb8,4,10000,13000,30
8a858fbc594a495c01596db4320c084a,6,20000,24500,30
8a858fc9580b91da0158126363fb3f16,11,15000,15750,15
8a858fd05bfd7d3c015c0cc8a1a86a92,3,10000,13000,30
8a858fd55b8752ba015b895180e74ffe,5,20000,24500,30
8a858fe8555f401f01556e0a6ac317b7,8,30000,34500,30
8a858ff35c5f4d1d015c6379bbcf0adc,3,10000,13000,30
8a858ffd5c8d343d015c978f755b7fbe,2,10000,11500,15
8a85883353e2e4e40153f068a4634e02,15,50000,57500,90
8a8588b75438f49901544510041e0951,5,20000,24500,30
8a8588f5542eb0d401542f48f0381490,15,40000,44000,30
8a85890754145ace01542184054739e2,12,30000,33000,30
8a8589c1545181f301547d2cfb142ff4,4,10000,13000,30
8a858e045b495c30015b4f8417aa61c4,3,10000,13000,30
8a858e105bd92644015bdd374f0d1a3a,2,10000,13000,30
8a858e185b4923b4015b49f7165a4acd,7,30000,39000,60
8a858e225a28c713015a33e7c0bf5ed8,9,30000,34500,30
8a858e2c5cc64f70015cc942825e71ae,2,10000,13000,30
8a858e395cb1d4d9015cba9fbb6e6e2c,2,10000,13000,30
8a858e3e5922ba4301593831652558a5,4,10000,13000,30
8a858e4f58b9f0b40158c027a53e65a8,9,20000,21500,15
8a858e585693982b0156b6329ee229d6,9,30000,39000,60
8a858e615c832be8015c87cc64661017,2,10000,13000,30
8a858e675cc6685e015cc6eb279c3e84,2,10000,11500,15
8a858e6c5c88d145015c894de1a91c5c,2,10000,13000,30
8a858e705668e167015685e1e07c19d4,10,40000,48000,60
8a858e7d5d328208015d3409dd464483,2,10000,11500,15
8a858eae5bb5beb8015bb947fd2f4f4d,3,10000,11500,15
8a858eb55cf45581015cf47853d613db,2,10000,13000,30
8a858ec959f3d0320159f411f586198d,9,10000,11125,15
8a858edb5a70bfe0015a7ef6715642d0,5,20000,24500,30
8a858ee055ffbe17015607e67cec57e9,7,30000,34500,30
8a858eef55548905015554a9578505d4,5,10000,13000,30
8a858f00590ac4e70159320caa4a190c,9,40000,44000,30
8a858f045bab240c015baf9e44646d76,2,10000,13000,30
8a858f0f5bfd79d2015c0c2370d436a1,4,30000,34500,30
8a858f1b5b256bc9015b2a8b75dc0b45,6,15000,18375,30
8a858fa154e2912f0155065fcda06f84,9,20000,24500,30
8a858fa3552ae1120155398656a154c3,14,40000,44000,30
8a858faa56dffac60156ffa41b542ce7,7,30000,34500,30
8a858fba5cd5feee015cdb7399184dc9,2,10000,13000,30
8a858fbf5b3a0b46015b3d5e8fae2a65,5,20000,24500,30
8a858fcb5bab1fda015baebcd3791586,6,20000,24500,30
8a858fd35b5dfefb015b5e080dc50892,5,20000,24500,30
8a858fda5c3b0f1c015c403b1f5c301c,3,10000,13000,30
8a858fe5569398920156b644671b0f2a,3,10000,13000,30
8a858fed5cabd3a0015cac23520a3743,2,10000,13000,30
8a858ff85b339568015b33e96b393bff,5,20000,24500,30
8a858ffb5d1832fd015d184b6ad80f09,2,10000,13000,30
8a85881053bc33670153c9dc2e3a4393,10,40000,48000,60
8a85888c548fb3d501549748043c4fc2,3,10000,11500,15
8a8588dc5384a05f0153982119c81a51,3,10000,13000,30
8a8588fd53e2e6cf0153ec3302de1278,8,30000,39000,60
8a85893d53f104eb015409d628cd0e46,7,10000,13000,30
8a858e0156b782a10156c2f83bd248f2,9,20000,24500,30
8a858e0b5d1d8104015d1db8dcf31765,2,10000,11500,15
8a858e135c7e2eec015c813211a96674,2,10000,13000,30
8a858e2155defefd0155e88ca1b22485,9,50000,55000,60
8a858e245c5f3f7c015c63d531167c8a,2,10000,13000,30
8a858e345be813ea015be81b372e07dd,5,20000,22250,15
8a858e3c5853733801585dadb1334a2e,3,10000,13000,30
8a858e495d1e235c015d2bcddad44cd9,2,10000,11500,15
8a858e545cf8f7eb015cf918d0ed129a,2,10000,11500,15
8a858e5d5bf3454f015bf3c38c482aa5,3,10000,13000,30
8a858e655a047d1a015a0daaf9874735,8,30000,34500,30
8a858e695d18c7a1015d1c3e840913e6,2,10000,13000,30
8a858e715bd3fa19015bd7d998442e30,4,10000,11500,15
8a858e7b55deef140155e587fc3b63ba,7,30000,34500,30
8a858e885c63d379015c6ed663042002,3,10000,13000,30
8a858e995ccb5414015ccc4147cb4bc8,2,10000,13000,30
8a858eb25cf38c4b015cf3d1cb702960,2,10000,11500,15
8a858eba5b681df4015b703c75a501bc,6,30000,34500,30
8a858ed25b1b19eb015b1b59dc1b15a7,7,30000,34500,30
8a858ed759d079530159d127708943f6,7,30000,34500,30
8a858edd56236fc8015623c3a4f40467,7,10000,10750,15
8a858ee159de9b420159dee292301739,7,20000,23000,30
8a858eea5a232d51015a2452529c1455,12,30000,34500,30
8a858f0455d9feaf0155e0332396619d,4,20000,24500,30
8a858f0d58a18ebc0158b0ec239828b8,6,20000,24500,30
8a858f13556665aa015572d6e7b872de,14,50000,52500,30
8a858f265b1416a5015b145705f24eb2,3,10000,13000,30
8a858f2d5853901a015861e6f6315db1,10,30000,34500,30
8a858f365b2547f3015b30981af37cb7,5,10000,13000,30
8a8588235384a58d01538b5b8d49372c,3,10000,13000,30
8a858887545183ca01546142802e4b4e,11,30000,39000,60
8a8588fd53c244bc0153c74fad72587f,9,30000,34500,30
8a85893d53f104eb0153fec8703465f1,17,50000,57500,90
8a8589a453bc422d0153c7d857e0190f,2,10000,13000,30
8a858e0156b782a10156e09c0f90725b,8,30000,34500,30
8a858e0a5a85cfaa015a89b1af345719,5,10000,12250,30
8a858e125c358780015c35aad25310ef,3,10000,13000,30
8a858e195af64338015af6bc45ef5aef,2,10000,11000,15
8a858e1e54e2aa5a0155059eabfa7cc1,2,10000,13000,30
8a858e2d565657b1015663ff20d43576,5,20000,24500,30
8a858e345be813ea015be87d70855b44,2,10000,13000,30
8a858e3d570f30bb0157146c32c418b7,8,30000,39000,60
8a858e5555780ea001557c46f2c91d97,3,10000,13000,30
8a858e615c832be8015c86f0d1082a70,2,10000,13000,30
8a858e64590ae20001592265cda16d7b,2,10000,13000,30
8a858e6c5c88d145015c8cf7a5e17156,2,10000,13000,30
8a858e7655072083015517c8fe5b2942,5,30000,34500,30
8a858e875b910dfe015b917802c4282b,4,10000,13000,30
8a858e8a5c1c14b8015c208abf11720a,3,10000,13000,30
8a858e955aeb055e015aebee294a5a85,5,20000,22250,15
8a858ea55b58f026015b5c11ad2e2dd2,6,30000,34500,30
8a858eb456e0b9490156fb7018a91a1e,12,10000,11500,15
8a858eba5591bf2801559ae75c8d32bc,9,40000,48000,60
8a858ece586263020158696870092f98,2,10000,11500,15
8a858ed65bd3a65c015bd3e9a0ff2664,3,10000,13000,30
8a858edf55ca17ba0155d58ee8d43f6a,2,10000,11500,15
8a858ee55cb156e6015cbd3d5e3555c2,2,10000,11500,15
8a858eed5a42df95015a45e2fcac6aa9,6,30000,34500,30
8a858efe5bca0a81015bca60dfdc14bb,2,10000,13000,30
8a858f045556eaa401556dd7346663fc,5,30000,39000,60
8a858f0d5ca1cf54015ca237f4843b09,3,10000,13000,30
8a858f275591bf5d0155968869002f72,6,30000,34500,30
8a858f415686c0ab0156932bc72861e0,10,40000,44000,30
8a858f475c11bc72015c1241c5e8477f,3,10000,13000,30
8a858f505ca7b434015cab87f6cb61ed,2,10000,13000,30
8a858f5856373f8801564a639d9d6aba,11,30000,34500,30
8a858f5e5cb23c77015cb617d25a6080,2,10000,13000,30
8a858f6e5cb16eb9015cba9514502da3,2,10000,13000,30
8a858f795896e56b0158a52e3f196868,10,25000,27500,30
8a858f845d13beed015d161cb56d72d7,2,10000,11500,15
8a858f925d5bfd0a015d5c41ca480d60,2,10000,13000,30
8a858f98560bbe110156217f2b324081,2,10000,13000,30
8a858fa154daefc00154de1b445805fa,10,40000,44000,30
8a858faf5679a838015679dda1481bfb,7,40000,48000,60
8a858fb4563228d201563e3b46c90a86,2,10000,11500,15
8a858fbd5cd6054a015cda142858051a,2,10000,11500,15
8a858fc75cd62882015ce320d4b64f4d,2,10000,13000,30
8a858fcd56b9f22c0156d8afaef02fd8,5,10000,13000,30
8a858fd55577e87601557eb6810f1310,9,30000,34500,30
8a858fda5d37b00c015d3ba42a19619e,2,10000,13000,30
8a858f3c5c16cadb015c171ebcfb30b6,4,20000,22250,15
8a858f445d41ebbe015d4d646b946dec,2,10000,11500,15
8a858f525ba5119c015ba5a39b6c5444,3,10000,11500,15
8a858f615591c2cc015598dface34f3a,10,30000,39000,60
8a858f675c1c43bc015c209f0e59388c,3,15000,18375,30
8a858f7d5ab3ca4b015ab5184798706a,3,10000,13000,30
8a858f905c06a9c0015c0c8fca8c6706,3,10000,13000,30
8a858fa154e2912f0154eee022676b1c,5,10000,11500,15
8a858fa4552add9f01553e7f443c4214,13,40000,44000,30
8a858fa55acd8061015ad15eb8b47940,4,20000,24500,30
8a858fb15a41784f015a41921e4c142b,7,30000,34500,30
8a858fc75cd62882015ce3990b726a9b,2,10000,11500,15
8a858fcf5b39c3ba015b3b269d573d36,6,20000,24500,30
8a858fe756939bbb0156993f3dda2d08,10,30000,33000,30
8a858ff556236fa801562d3353964355,2,10000,13000,30
8a8588235375c27f01537f79100c40c3,6,10000,13000,30
8a85889853f0fbaa01540444629832e2,10,20000,24500,30
8a858966538deb190153a778edfb61aa,6,10000,11125,15
8a8589a453bc422d0153c82e861c34f1,4,25000,28750,30
8a8589f853f100fb01540a6faacb4e74,10,35000,38500,30
8a858e0256b781d80156c09f1e585c2f,10,30000,39000,60
8a858e065ccb8bc0015ccbf7b21c1875,2,10000,13000,30
8a858e105bd92644015be07c35237d0d,3,10000,13000,30
8a858e285ba4bf33015ba50277171d93,5,20000,24500,30
8a858e36590808e3015917a6dae57137,5,10000,13000,30
8a858e4f5929c3df01595086e6cd773f,2,10000,13000,30
8a858e5b5bd99460015be7d577b04e0d,3,10000,13000,30
8a858e675c3fe0a1015c415368c24fb1,3,10000,11500,15
8a858e6d58b0cc520158b4bcc7f61ef2,2,10000,13000,30
8a858e705b3a03c7015b3d4d6eca680c,2,10000,13000,30
8a858e785c8d9167015c9b1641a0092e,2,10000,13000,30
8a858e985885ff6d0158aa2ce6772cff,7,10000,13000,30
8a858eae5a42129d015a421fa6270603,7,20000,22250,15
8a858eb85cef9327015cf30509cf2230,2,10000,11500,15
8a858ed75732b68101574d1614f23803,7,20000,24500,30
8a858ede5ca210f0015ca6e7144b3d34,2,10000,13000,30
8a858ee1578e399501579186cb2d6283,10,40000,48000,60
8a858f2a5b3f2121015b41d14e202aba,6,10000,13000,30
8a858f385b34d285015b34e6dbbb1309,9,30000,34500,30
8a858f3e589c40610158a57d427715a6,12,10000,10000,15
8a858f5e5566567d0155777b44e00cfa,6,20000,24500,30
8a858f655baa9ae1015baf6547472776,3,10000,13000,30
8a858f735aec46c4015af02a90835ac8,8,30000,34500,30
8a858f7b5763d88001576be2678d67c6,12,45000,49500,60
8a858f7e5c213ef4015c2a8b9fe20181,4,20000,24500,30
8a858f8e59d0b8930159d10900473713,5,20000,24500,30
8a858f925d3c3cad015d3c4541e2059f,2,10000,13000,30
8a858f9f5bd99987015be7d0e0f4085f,5,20000,24500,30
8a858fa25c120898015c16abe1cb45f4,3,10000,13000,30
8a858fad5ccb633e015ccb8973e511bc,2,10000,11500,15
8a858fb75b5894aa015b589fd7720a85,4,20000,24500,30
8a858fc45c5f93be015c61e0e5e55e38,3,10000,11500,15
8a858fcd56b9f22c0156bc268ef56102,2,10000,11500,15
8a858fd3552c75620155563fb5241458,9,30000,34500,30
8a858fe45cd62cbf015ce8f815230bc2,2,10000,13000,30
8a858fe95afc0665015affd8827a642b,4,10000,11500,15
8a858ff25c8250c1015c827e15821e4e,3,10000,13000,30
8a858ffd5c8d343d015c98e84c9c2a13,2,10000,11500,15
8a85880353acff880153b23e3c742a08,12,40000,44000,30
8a85886f54517ee0015470749d3c3ce7,22,50000,52500,30
8a85893d53f104eb01540e7f589775c3,2,10000,13000,30
8a85896653f0fed201540f40a3a45c14,5,20000,24500,30
8a8589c1545181f3015454b4cdd9002b,7,10000,10750,15
8a858e005ca7abe3015ca9c692843861,2,10000,13000,30
8a858e035693e0290156b6bd3b483170,5,30000,34500,30
8a858e0a5668e69c01566f643ad645a9,10,20000,24500,30
8a858e1d5cd58f9e015cd8c747ad7d06,2,10000,11500,15
8a858e245c214660015c270224c83207,2,10000,11500,15
8a858e345bd96da8015bd9def9c624f6,3,10000,13000,30
8a858e455c1bf763015c1c4eab062420,3,10000,13000,30
8a858e5856b7840c0156b8f1f61f5f52,9,30000,34500,30
8a858e5f5af1e7e7015af206af7b09d8,4,20000,24500,30
8a858e6c5bd3fbff015bd5736e545cd2,3,10000,11500,15
8a858e6f5668e01701568cf7ba8e39da,2,10000,13000,30
8a858e725c360240015c3797bd734cf7,2,10000,13000,30
8a858e885b68546c015b789214a9131c,3,10000,13000,30
8a858e8e5ca1f1a8015ca6a8cfcb31f4,2,10000,13000,30
8a858e935cedfe55015cee2ad92f236f,2,10000,13000,30
8a858ea45b35639b015b364dc0f72463,6,30000,34500,30
8a858eb4588604f701589223c5ab045f,7,10000,13000,30
8a858eba5c884d2a015c936df7c60af3,2,10000,11500,15
8a858ec35a428dcc015a4667481262fe,10,25000,28750,30
8a858fe65675195a015679452588279c,10,40000,48000,60
8a858ff25a6a19ee015a6acc4a986c80,6,20000,24500,30
8a85882653e2eb990153e7a9eda325a7,5,10000,11125,15
8a858928548fb121015495dafe41016b,10,20000,22000,30
8a85898a53d0af400153d7dc5cc22b9f,10,20000,22000,30
8a858e0256b781d80156b8f2d33c4f27,5,15000,18375,30
8a858e0c552ae0b8015543cb7d1a5cbd,11,30000,34500,30
8a858e105bd92644015be812e5683388,4,30000,39000,60
8a858e325d3245ec015d328e6b0b1fcc,2,10000,11500,15
8a858e3d5c3b5122015c43f776bd4a3a,3,20000,24500,30
8a858e585693982b015699e7c57e03e2,3,10000,11500,15
8a858e5e57adcb8e0157b5023bf2676e,3,10000,13000,30
8a858e675c3fe0a1015c55131ebd5fa6,2,10000,13000,30
8a858e6a5bfd4b54015c0dc45b31270b,3,10000,13000,30
8a858e705b3a03c7015b3ceed0d531fb,4,20000,24500,30
8a858e8d56b784480156cc1a80f60132,12,40000,44000,30
8a858e9d5bfd7037015c07cdd6f1278d,3,10000,13000,30
8a858eab5cf9c4c8015cfa0b1d8e1c67,2,10000,11500,15
8a858eb85cef9327015cf2b1db7c052c,2,10000,13000,30
8a858ec55ca7919d015cab70e8954f34,2,10000,13000,30
8a858ec95afc0922015b0a6d75655b14,4,20000,22250,15
8a858ed45c454c11015c53de37e71789,3,10000,11000,15
8a858eda5c8863ff015c8c2578833357,2,10000,13000,30
8a858edf57f78fed0157fdd279342ccf,5,20000,22250,15
8a858ee55c830000015c867880563fc3,2,10000,13000,30
8a858eef55548905015574ae2dcb526f,14,20000,21000,30
8a858efd5ca70688015cabd1f1e94b55,2,10000,11500,15
8a858f045556eaa40155698324e4555e,10,40000,44000,30
8a858f0b5d36a8e1015d36cd984b1990,2,10000,13000,30
8a858f115cea8545015cee1518b54081,2,10000,13000,30
8a858f1955b1c4df0155d4ad1adb462c,2,10000,11500,15
8a858f255c78552d015c78e0f386678f,2,10000,11500,15
